datetime,symbol,open,high,low,close,volume
2018-09-12 13:30:00,GOOG,1172.9000244140600,1178.0,1161.0037841796900,1164.1148681640600,305006
2018-09-12 14:30:00,GOOG,1164.0250244140600,1169.1300048828100,1158.8599853515600,1167.449951171880,192650
2018-09-12 15:30:00,GOOG,1168.199951171880,1169.1199951171900,1158.3599853515600,1162.25,122711
2018-09-12 16:30:00,GOOG,1161.969970703130,1163.5,1159.137451171880,1160.9300537109400,93984
2018-09-12 17:30:00,GOOG,1162.9100341796900,1162.9100341796900,1159.050048828130,1160.47998046875,90017
2018-09-12 18:30:00,GOOG,1160.2900390625,1163.3299560546900,1159.2099609375,1162.719970703130,113974
2018-09-12 19:30:00,GOOG,1162.260009765630,1164.31005859375,1162.175048828130,1162.9200439453100,177983
2018-09-13 13:30:00,GOOG,1171.8900146484400,1178.469970703130,1163.5,1163.5,399944
2018-09-13 14:30:00,GOOG,1163.27001953125,1169.7900390625,1163.0699462890600,1168.7099609375,148052
2018-09-13 15:30:00,GOOG,1169.7900390625,1174.449951171880,1167.739990234380,1172.8199462890600,183019
2018-09-13 16:30:00,GOOG,1172.1800537109400,1173.800048828130,1168.989990234380,1171.1300048828100,114287
2018-09-13 17:30:00,GOOG,1171.1500244140600,1174.239990234380,1170.1400146484400,1171.6500244140600,146976
2018-09-13 18:30:00,GOOG,1171.7099609375,1174.5,1170.9200439453100,1172.47998046875,103612
2018-09-13 19:30:00,GOOG,1172.52001953125,1175.469970703130,1170.9200439453100,1175.06005859375,126164
2018-09-14 13:30:00,GOOG,1179.56494140625,1179.56494140625,1171.260009765630,1174.8800048828100,261993
2018-09-14 14:30:00,GOOG,1175.8699951171900,1176.4200439453100,1172.4300537109400,1174.9100341796900,118192
2018-09-14 15:30:00,GOOG,1175.5699462890600,1177.3900146484400,1168.6300048828100,1169.3599853515600,133833
2018-09-14 16:30:00,GOOG,1168.3919677734400,1172.3399658203100,1168.3919677734400,1172.3399658203100,61931
2018-09-14 17:30:00,GOOG,1172.2900390625,1174.0400390625,1171.5101318359400,1171.8299560546900,62857
2018-09-14 18:30:00,GOOG,1171.030029296880,1174.0,1170.9599609375,1173.22998046875,63014
2018-09-14 19:30:00,GOOG,1173.5400390625,1174.989990234380,1171.7099609375,1172.0400390625,115334
2018-09-17 13:30:00,GOOG,1170.31005859375,1177.0050048828100,1157.4599609375,1159.5,253102
2018-09-17 14:30:00,GOOG,1159.3800048828100,1159.9100341796900,1154.5,1157.4599609375,145418
2018-09-17 15:30:00,GOOG,1158.1500244140600,1164.06005859375,1157.7900390625,1162.97998046875,115365
2018-09-17 16:30:00,GOOG,1162.8399658203100,1165.7099609375,1161.8199462890600,1164.14501953125,88789
2018-09-17 17:30:00,GOOG,1163.75,1168.010009765630,1162.81005859375,1165.1212158203100,84266
2018-09-17 18:30:00,GOOG,1164.791748046880,1165.449951171880,1158.5799560546900,1159.7099609375,173739
