datetime,symbol,open,high,low,close,volume
2018-08-16 14:00:00,NSE:NIFTY1!,11410.0,11428.45,11377.0,11402.0,1475100.0
2018-08-16 15:00:00,NSE:NIFTY1!,11401.5,11420.45,11395.35,11417.0,960075.0
2018-08-17 09:00:00,NSE:NIFTY1!,11439.75,11475.0,11420.0,11470.2,1789950.0
2018-08-17 10:00:00,NSE:NIFTY1!,11469.55,11491.65,11462.3,11488.2,1108500.0
2018-08-17 11:00:00,NSE:NIFTY1!,11488.0,11493.0,11483.5,11487.95,470550.0
2018-08-17 12:00:00,NSE:NIFTY1!,11486.95,11494.95,11477.1,11485.0,494700.0
2018-08-17 13:00:00,NSE:NIFTY1!,11485.0,11489.9,11473.0,11485.0,577350.0
2018-08-17 14:00:00,NSE:NIFTY1!,11484.7,11507.45,11482.85,11493.75,1217475.0
2018-08-17 15:00:00,NSE:NIFTY1!,11493.6,11498.0,11480.65,11487.8,975900.0
2018-08-20 09:00:00,NSE:NIFTY1!,11518.95,11559.4,11510.05,11550.85,1331925.0
2018-08-20 10:00:00,NSE:NIFTY1!,11551.5,11560.15,11546.0,11550.65,682950.0
2018-08-20 11:00:00,NSE:NIFTY1!,11550.45,11560.6,11550.45,11559.0,381750.0
2018-08-20 12:00:00,NSE:NIFTY1!,11559.0,11577.95,11557.95,11573.0,670275.0
2018-08-20 13:00:00,NSE:NIFTY1!,11573.0,11580.0,11570.0,11576.5,416850.0
2018-08-20 14:00:00,NSE:NIFTY1!,11576.5,11582.4,11561.6,11575.25,617475.0
2018-08-20 15:00:00,NSE:NIFTY1!,11575.4,11585.35,11572.45,11583.0,1091025.0
2018-08-21 09:00:00,NSE:NIFTY1!,11578.95,11590.05,11557.15,11567.05,1204425.0
2018-08-21 10:00:00,NSE:NIFTY1!,11567.1,11580.0,11566.0,11573.75,741600.0
2018-08-21 11:00:00,NSE:NIFTY1!,11573.75,11574.4,11553.0,11561.9,669375.0
2018-08-21 12:00:00,NSE:NIFTY1!,11561.9,11583.85,11560.05,11577.0,613950.0
2018-08-21 13:00:00,NSE:NIFTY1!,11578.0,11584.4,11571.0,11571.0,409800.0
2018-08-21 14:00:00,NSE:NIFTY1!,11571.2,11589.4,11568.0,11585.0,649725.0
2018-08-21 15:00:00,NSE:NIFTY1!,11586.2,11592.35,11581.85,11587.75,891075.0
2018-08-23 09:00:00,NSE:NIFTY1!,11614.95,11622.0,11574.75,11578.2,1625700.0
2018-08-23 10:00:00,NSE:NIFTY1!,11578.35,11581.4,11553.3,11566.1,1184850.0
2018-08-23 11:00:00,NSE:NIFTY1!,11566.4,11582.4,11557.2,11582.4,578550.0
2018-08-23 12:00:00,NSE:NIFTY1!,11581.8,11585.35,11570.7,11572.45,766425.0
2018-08-23 13:00:00,NSE:NIFTY1!,11572.45,11585.0,11567.75,11581.7,649650.0
2018-08-23 14:00:00,NSE:NIFTY1!,11582.0,11604.9,11578.0,11593.05,846225.0
2018-08-23 15:00:00,NSE:NIFTY1!,11593.95,11604.0,11582.4,11596.0,896850.0
2018-08-24 09:00:00,NSE:NIFTY1!,11580.0,11605.75,11565.65,11595.8,1255875.0
2018-08-24 10:00:00,NSE:NIFTY1!,11595.75,11598.4,11562.85,11582.5,1140000.0
2018-08-24 11:00:00,NSE:NIFTY1!,11582.0,11587.5,11572.5,11576.95,537975.0
2018-08-24 12:00:00,NSE:NIFTY1!,11576.85,11582.45,11541.0,11549.0,1339875.0
2018-08-24 13:00:00,NSE:NIFTY1!,11549.7,11574.7,11547.2,11566.0,791175.0
2018-08-24 14:00:00,NSE:NIFTY1!,11565.5,11576.0,11552.8,11569.4,793575.0
2018-08-24 15:00:00,NSE:NIFTY1!,11569.3,11575.8,11565.35,11572.95,907800.0
2018-08-27 09:00:00,NSE:NIFTY1!,11616.2,11667.0,11614.0,11661.2,2254275.0
2018-08-27 10:00:00,NSE:NIFTY1!,11662.0,11669.0,11656.3,11665.8,798000.0
2018-08-27 11:00:00,NSE:NIFTY1!,11665.85,11675.8,11664.3,11674.4,1072950.0
